team_id,team_name,mlb,nba,nfl,nhl,west,southwest,midwest,northeast,southeast,win_percentage,championships_won,total_retail_sales_per_capita,population,average_household_income,median_age,average_household_size,new_stadium,stadium_coast_millions,white_population_percentage,male_percentage_population
minw,Minnesota Wild,0,0,0,1,0,0,1,0,0,0.538,0,13550,429985,70099,32.3,2.24,0,0,0.601,0.507
mtl,Montreal Canadiens,0,0,0,1,0,0,0,1,0,0.459,0,,1780000,61747,41,2.1,0,0,0.667,0.492
nsh,Nashville Predators,0,0,0,1,0,0,0,1,0,0.537,0,16394,689454,65565,34.5,2.34,0,0,0.55,0.485
nj,New Jersey Devils,0,0,0,1,0,0,0,1,0,0.43,0,11034,311552,41335,34.5,2.66,0,0,0.227,0.492
nyi,New York Islanders,0,0,0,1,0,0,0,1,0,0.51,0,13785,8804194,70663,36.9,2.63,1,1000,0.341,0.47
nyr,New York Rangers,0,0,0,1,0,0,0,1,0,0.546,0,13785,8804194,70663,36.9,2.63,0,0,0.341,0.47
ott,Ottawa Senators,0,0,0,1,0,0,0,1,0,0.436,0,,994837,85969,40,2.5,0,0,0.742,0.488
phif,Philadelphia Flyers,0,0,0,1,0,0,0,1,0,0.458,0,9466,1603799,52649,34.6,2.4,0,0,0.338,0.464
pitp,Pittsburgh Penguins,0,0,0,1,0,0,0,1,0,0.568,2,16963,302958,54306,33.4,2.04,0,0,0.654,0.489
seak,Seattle Kraken,0,0,0,1,1,0,0,0,0,0.435,0,82840,737018,105391,35.2,2.08,0,0,0.622,0.507
sj,San Jose Sharks,0,0,0,1,1,0,0,0,0,0.471,0,15193,1013221,125075,37.1,3.08,0,0,0.35,0.508
stlb,St Louis Blues,0,0,0,1,0,0,1,0,0,0.559,1,9264,301574,48751,36,2.08,0,0,0.463,0.474
tbl,Tampa Bay Lightning,0,0,0,1,0,0,0,0,1,0.605,2,20030,384661,59893,35.9,2.41,0,0,0.589,0.495
torm,Toronto Maple Leafs,0,0,0,1,0,0,0,1,0,0.519,0,,2794356,84000,39.6,2.4,0,0,0.502,0.48
van,Vancouver Canucks,0,0,0,1,1,0,0,0,0,0.45,0,,675218,86988,39.3,2.46,0,0,0.765,0.49
vgk,Vegas Golden Knights,0,0,0,1,1,0,0,0,0,0.59,1,16937,64866,61356,37.7,2.65,1,375,0.555,0.508
wshc,Washington Capitals,0,0,0,1,0,0,0,1,0,0.575,1,7939,689546,93547,34.1,2.08,0,0,0.462,0.474
win,Winnipeg Jets,0,0,0,1,0,0,1,0,0,0.524,0,,834678,73239,39,2.5,0,0,0.682,0.492
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
